2021-01-07 09:47:31,304 - train.py[line:111] - INFO : ==> Preparing dataset <==
2021-01-07 09:47:31,357 - train.py[line:114] - INFO : ==> Loading model <==
2021-01-07 09:47:36,868 - train.py[line:123] - INFO : ==> SUM NET Params <==
2021-01-07 09:47:36,869 - train.py[line:137] - INFO : ==> Waiting Train <==
2021-01-07 09:47:45,029 - train.py[line:75] - INFO : [Epoch:1, iter:100] Loss: 2.46428 
2021-01-07 09:47:52,160 - train.py[line:75] - INFO : [Epoch:1, iter:200] Loss: 2.42409 
2021-01-07 09:47:59,115 - train.py[line:75] - INFO : [Epoch:1, iter:300] Loss: 2.37339 
2021-01-07 09:48:05,934 - train.py[line:75] - INFO : [Epoch:1, iter:400] Loss: 2.33588 
2021-01-07 09:48:12,663 - train.py[line:75] - INFO : [Epoch:1, iter:500] Loss: 2.29597 
2021-01-07 09:48:19,382 - train.py[line:75] - INFO : [Epoch:1, iter:600] Loss: 2.26821 
2021-01-07 09:48:26,146 - train.py[line:75] - INFO : [Epoch:1, iter:700] Loss: 2.24376 
2021-01-07 09:48:33,554 - train.py[line:94] - INFO : Validation | Loss: 2.02383
2021-01-07 09:48:33,554 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:48:36,894 - train.py[line:75] - INFO : [Epoch:2, iter:800] Loss: 1.99519 
2021-01-07 09:48:41,581 - train.py[line:75] - INFO : [Epoch:2, iter:900] Loss: 1.99331 
2021-01-07 09:48:46,271 - train.py[line:75] - INFO : [Epoch:2, iter:1000] Loss: 1.99125 
2021-01-07 09:48:51,671 - train.py[line:75] - INFO : [Epoch:2, iter:1100] Loss: 1.97600 
2021-01-07 09:48:56,761 - train.py[line:75] - INFO : [Epoch:2, iter:1200] Loss: 1.94953 
2021-01-07 09:49:01,475 - train.py[line:75] - INFO : [Epoch:2, iter:1300] Loss: 1.93854 
2021-01-07 09:49:05,831 - train.py[line:75] - INFO : [Epoch:2, iter:1400] Loss: 1.92714 
2021-01-07 09:49:10,884 - train.py[line:94] - INFO : Validation | Loss: 1.83471
2021-01-07 09:49:10,884 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:49:12,195 - train.py[line:75] - INFO : [Epoch:3, iter:1500] Loss: 1.79490 
2021-01-07 09:49:16,654 - train.py[line:75] - INFO : [Epoch:3, iter:1600] Loss: 1.75739 
2021-01-07 09:49:21,155 - train.py[line:75] - INFO : [Epoch:3, iter:1700] Loss: 1.77131 
2021-01-07 09:49:25,582 - train.py[line:75] - INFO : [Epoch:3, iter:1800] Loss: 1.77273 
2021-01-07 09:49:30,055 - train.py[line:75] - INFO : [Epoch:3, iter:1900] Loss: 1.76439 
2021-01-07 09:49:34,731 - train.py[line:75] - INFO : [Epoch:3, iter:2000] Loss: 1.75524 
